n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
41000,620005,540217,513023,451431,522402,509070,716756,565939,516112,576017,592329,547803,602805,596775,612589,556718,507627,583832,558596,573446,551471,583110,555261,703950,480240,581532,552628,538372,595585,534129,516553,667468,614136,627574,508640,555432,560964,661686,528600,536019,570845,553811,579316,572085,541632,549309,554411,482234,506235,544832
42000,640756,574558,545234,524839,714273,519345,554345,510561,533782,668243,639292,483465,691472,546787,644338,512895,594453,553331,526567,655461,535139,497793,572493,619841,549161,698287,508526,560457,664210,581645,498353,530917,614202,652395,584257,561103,529358,602142,594691,577215,585459,643285,693861,612825,561749,587752,547441,512089,540599,629241
43000,553136,530241,552821,798321,601700,605027,637826,573076,642660,566118,554311,588274,632864,700541,642701,653368,542867,540534,553786,649350,586312,521480,590701,573817,554605,536950,620129,570994,525535,643180,649996,599220,588503,634251,602141,516564,554227,666706,558334,590528,563546,569156,543402,562889,537148,684389,538852,539088,667194,598230
44000,667272,550895,736593,589767,571067,556068,561008,564731,814222,617296,610745,595399,568845,642221,556417,549088,610278,650915,564568,657308,631260,658784,710927,603676,609614,597035,505723,722583,690403,794080,619676,628120,592186,662079,556564,589239,704416,652140,571939,570270,584625,610254,575033,527330,532966,579922,627776,551906,733548,567079
45000,597621,553480,591484,612408,601125,682946,677743,572755,583005,625688,553574,617539,599522,574772,745898,600355,619524,633113,771578,636974,624076,726857,699862,643578,554480,668731,651505,728652,585156,626316,613025,678017,709358,571944,604906,577916,559533,890574,637950,676213,693058,630796,615721,552296,614951,684088,660165,579203,641622,634385
46000,558763,579285,746858,593312,725260,634478,563200,670723,684432,847302,614267,586700,590890,602544,595105,607924,640387,635982,679094,687810,609330,775093,554462,563821,627771,695299,619450,651769,686510,778082,605347,673654,658715,619881,611169,634507,638310,627240,638165,699513,597707,654339,581502,632352,642066,601766,573634,622423,693008,640998
47000,655868,646590,675588,622859,724502,634005,672569,688784,577870,655512,619802,640603,749860,651200,559937,680334,570847,715833,705785,636103,611913,573253,624368,676697,666015,552807,674310,682570,695585,714938,657969,674211,755829,599845,611625,610217,704683,702045,610566,654566,745153,720508,577504,615586,633173,643243,618018,567440,605977,735879
48000,623798,660921,737367,752053,663884,642134,640269,613132,751817,634523,672255,672608,685581,690061,636803,671206,674194,707557,669795,704195,753343,615213,737474,594344,669576,645521,633108,826508,678267,712812,701150,734147,565943,819065,778569,688139,763294,680771,669982,589851,605301,681211,734636,607855,626231,710410,697233,656172,619900,594861
49000,616956,783602,624523,643044,720236,701430,822151,632786,626349,667480,583205,678252,812942,596587,705376,653050,681006,602799,674516,647692,620630,696786,601077,739185,667212,667832,680719,650065,748763,794313,634770,605404,857174,734119,670039,628497,740843,727275,668376,692854,716153,692104,673720,651166,628092,707773,648948,664374,728424,758731
50000,637375,635483,723778,659086,748056,740748,599506,627471,669786,770023,770125,724351,657345,779583,940404,652450,742747,638758,707855,869771,821500,836696,637588,667832,655383,658606,648568,644002,789487,657942,714565,665285,682184,751233,710785,627067,715097,609708,691072,778937,797515,774264,717567,627641,712695,735641,710109,741494,711458,759659
51000,756024,653434,798151,692004,776879,775530,690237,730329,668781,667032,721434,731377,713641,710418,709373,671946,687851,606640,675722,624794,658612,753165,726430,839522,669938,709766,645593,660600,815495,711413,899483,669222,757223,641745,609217,694275,679427,730683,708782,734653,633739,740331,856299,656892,788005,708939,663787,808842,891724,717352
52000,786778,694187,723865,803666,692719,669512,604874,857558,944088,748666,682897,770286,908322,693807,725111,799506,707605,707509,695873,857328,745184,650552,720006,868382,706826,813849,699653,694836,842223,713458,895886,696587,711989,760172,684001,813713,620431,675186,704991,710588,824311,812201,779419,808872,708139,694195,976835,729406,755859,704017
53000,695997,833454,671932,859517,857750,681075,700500,708691,791944,693255,794112,720821,879951,760300,670050,727878,733706,886628,740180,716679,722829,953503,750663,679397,661662,767895,709985,890399,759766,770959,708165,721840,672449,733362,620947,678963,703260,875074,679521,743014,684383,769680,851506,752551,739554,757303,757051,664606,866713,765437
54000,694010,704706,749279,964774,805234,684399,748608,738792,707985,697680,808108,802339,676673,697825,1067979,775508,724302,764501,763976,751075,793089,713400,764276,742792,795869,768193,952677,780053,792865,740392,820970,718235,670994,770911,689720,802776,808674,687204,702897,694047,747935,623472,895069,696696,765483,813739,1001853,839579,818764,780296
55000,725220,871969,875795,731780,843975,775385,814536,834801,733956,861196,698287,831590,827771,847957,759337,745076,704408,853087,748566,743468,801826,910155,687337,775396,801232,795432,715261,811519,808609,694149,888018,688460,892939,707736,684948,707035,762291,777115,705087,815451,745331,725577,776958,716269,779293,775310,728150,832073,753326,705610
56000,701502,798569,829388,802928,903437,747358,830037,771073,924358,847931,835058,804023,782696,756633,731404,710014,733288,708486,846116,699956,700823,864999,986585,937814,762990,733858,854892,784514,709325,810054,785405,743765,785582,698419,803870,816520,825649,703474,979432,781156,925953,826107,741540,818727,812206,762055,665639,824957,779381,969821
57000,773983,1000072,868655,832477,915130,691552,1103698,890851,759247,864245,923581,919851,908137,788050,763698,981374,808644,747772,770107,850254,787727,753449,773384,811885,889759,844784,750261,754452,770204,854276,761923,930004,857259,839487,753577,760823,764120,905400,753783,920965,723210,740480,766810,810565,744425,767443,762732,891450,660478,718345
58000,835710,786716,782541,815084,878249,769754,709409,855976,996467,813139,840009,903693,884363,789603,857164,787684,949545,689052,826274,795096,739129,761719,920539,832308,787469,1018259,710636,866925,816527,715987,767113,893699,888088,814938,770796,856019,752514,843784,756485,816422,817366,756689,914416,706931,892520,914064,870134,875821,822057,761978
59000,756640,796969,957052,795518,764082,1012598,972742,1022352,773292,750804,967933,829523,773775,929022,789519,853941,796157,852320,961224,851677,825706,777189,796430,785704,933563,764665,903030,762529,878929,843877,837681,784300,830969,884151,841148,939463,821448,950350,841425,951534,873439,843446,901379,787252,769472,863131,800829,866693,800803,944015
60000,845406,975334,943923,891343,730170,807872,911409,1020603,912460,847173,897830,857019,942269,926284,805414,869832,824282,877138,989675,1130408,869068,759082,847828,823350,987605,783236,759229,942882,954347,768559,886834,962165,809076,816743,880914,859987,794364,801848,803170,833314,864441,795794,848406,750570,807235,827718,974443,846594,751069,855204
61000,928049,834247,881690,860364,873425,973237,845245,1089623,799871,857613,800732,941989,838355,755099,853415,874172,915136,937722,879755,822748,826592,770620,837363,865470,907785,879540,847133,837478,916340,892894,998769,835997,1134057,858787,991049,846871,831317,870189,850426,989494,813423,908700,914203,856432,855946,923198,806868,808033,786518,765601
62000,835328,977522,959082,779891,832069,798694,960420,857627,922949,862416,820528,814913,813188,810124,814629,762707,858290,812680,1002075,839337,1095365,968917,867376,966506,952033,910057,849694,947640,765070,964807,826966,937923,797224,857404,937323,892210,836260,788385,773998,777035,845595,876776,1012348,816914,928586,895931,875286,911295,932558,762065
63000,779375,903586,926239,894345,848116,929622,916471,964085,859159,944562,852015,877580,797990,744540,902237,846200,947782,773541,873826,841959,862039,944017,851730,985676,829839,834741,827565,866889,781898,913949,963459,993683,917643,887970,992661,853682,914191,819460,807225,826528,905162,834139,1107823,947486,899660,896346,1006939,858343,844347,835825
64000,826672,855476,827395,949316,896162,1074799,883358,888117,953125,1090858,859083,917750,994957,807300,800302,858435,846849,1061287,1045649,848404,893240,838157,830250,934541,914657,1045483,867768,859932,810160,887329,931352,960353,831837,847745,923994,969205,759737,839527,975871,894238,929121,1039526,909281,925366,863845,1022297,823198,859239,797800,919896
65000,936655,840309,873102,885957,956872,860565,1046073,931926,1044839,928073,985157,1000670,864219,933705,980111,1000690,898558,900518,1002432,1021197,828555,898872,872447,875954,836771,862863,865528,848028,772225,888393,1022917,894660,1239259,958714,960744,885760,894541,917338,870112,908360,928266,933117,890799,1160849,903607,931343,925348,1097618,907757,997701
66000,1038623,938481,850733,880919,1041590,911485,911297,869059,890657,1113639,987307,854480,1189567,868166,922085,956167,898679,1121740,1054173,990068,931203,941479,974518,937668,846062,1079273,955519,1113151,954334,866955,989012,1085937,980745,1149951,1222363,952091,973007,966349,1027906,911471,778886,982513,928059,813390,916647,1099864,888621,875793,840464,937380
67000,907654,1027931,877531,943011,1034549,1059695,937722,1026923,1107930,935786,857305,1089855,1058703,983872,1151441,1009088,947278,1050117,1087381,895961,1113177,945070,1002706,918882,1118874,947504,855868,1197538,899587,1118950,975046,874156,892656,966552,1263540,1418339,947914,910765,963857,965617,889963,1209760,1094994,999493,1045718,1059106,1257458,960768,897145,912237
