n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
41000,102218,82106,101407,80884,66181,62474,117299,194014,60380,190527,116278,25535,150082,123316,195989,149988,132937,93927,42426,86046,10110,43654,79459,38489,183547,110177,111687,352236,230062,100930,129041,117859,38370,237480,68440,82790,181333,73651,210855,29685,72768,128184,103148,160717,145021,72444,79226,170509,71208,76240
42000,99027,124702,112640,40049,251004,40030,109050,76823,174462,101397,137477,119705,119308,255617,120011,83798,115501,12945,205049,58620,70107,205658,133993,18350,77373,84514,66088,131777,127925,169699,91038,218966,48115,135992,82280,25812,111270,65538,142393,69583,152847,44521,88941,107560,98541,114970,91013,106078,201254,114628
43000,105000,19160,86280,104118,105641,106127,90761,84460,173132,86750,73005,126887,138763,30144,34888,163396,168286,214131,68706,168896,8058,102876,118663,142220,129738,264323,119452,176014,86071,109109,71397,115369,66710,94072,129992,25954,60248,67714,113811,197413,246477,220477,100376,32838,123689,44214,97024,43558,34506,184804
44000,2345,14690,67177,96066,84655,71398,79273,128126,101468,52612,49816,57260,182094,12018,114387,115637,192938,88177,11692,158327,141152,152445,130515,24620,113187,137889,182289,80176,146612,142095,132897,147588,45308,46904,53980,71177,113651,145970,178387,104349,14352,62921,84680,97560,82700,23422,161251,116704,134328,119242
45000,143801,3413,216098,9926,24088,160454,69198,58840,164778,161455,286159,112661,143395,144091,111833,229829,64848,73457,99810,126784,210407,32170,46378,224913,111396,80603,148155,114978,38021,115891,196242,64437,170974,158018,174310,150657,11908,184038,106703,110302,208634,124262,148895,159659,246286,143980,82278,142615,161584,171331
46000,71820,60953,110748,267264,62935,174523,110267,87458,72658,30007,97156,113410,276870,196299,163646,14618,132245,115656,60666,207203,34927,5999,88664,272690,113374,100530,183567,96763,366081,130982,294615,39458,182885,37146,22900,142558,64089,162812,176743,37400,140418,185031,123940,147377,137425,42325,91935,261523,177694,142635
47000,132274,48862,51759,94373,59168,157658,50731,130915,78272,86091,161100,62376,80419,122833,122007,128639,220866,26858,32305,27214,122070,91972,68608,82193,125438,15697,27792,114876,131226,229537,163429,41490,184210,246773,213324,123067,156539,145065,51210,163062,55344,212974,133001,100319,159814,127960,58819,77580,174105,180547
48000,142576,137310,94204,85478,123726,215896,46998,280429,36881,25384,78431,194346,133542,226947,169834,53649,115323,61455,257781,63659,309598,106563,90976,174590,12248,105599,44012,124462,164383,61387,98273,47007,12376,95369,112384,299471,54786,245532,81281,36817,57399,124072,66277,52454,120233,163568,163901,33845,140892,144623
49000,25769,280514,805,237112,97442,143071,245020,215157,106542,103983,171495,81266,163205,92717,212016,225877,94148,14298,98217,43989,109921,56200,126153,118795,151894,154519,170987,244932,197535,26715,71829,40233,232691,42031,111545,45464,169587,135817,125828,76784,142660,154862,24992,135518,100330,135725,110055,114363,67983,96366
50000,87674,91077,168157,13016,150564,124690,148989,188272,66419,131282,71921,186069,58809,151571,108406,53396,108912,152520,87024,135122,205034,260522,121790,116741,162480,74097,96954,103354,191897,30295,20970,272850,226540,169053,94472,154777,19758,124448,230068,237386,110053,219605,117513,291050,157028,75276,36966,179817,225970,113636
51000,53244,227114,153313,43495,204317,168087,96295,87892,218796,96186,156620,55736,216034,208167,273915,159325,139466,108847,42307,103331,70402,93761,195911,78602,165846,78975,146490,48178,177153,160191,66374,48111,189322,277529,130921,207794,184912,166238,124709,172850,213179,335527,40000,128138,104495,79839,105249,136534,121833,77021
52000,108361,243288,135422,179688,133537,16985,156170,240297,47708,13006,224148,27608,180317,267315,127337,255035,127010,164944,115015,4148,145665,153686,70967,94339,270122,251315,225561,112402,117944,163546,47309,115091,33797,334805,105287,208789,157226,71682,65030,109176,131239,208144,133015,118695,113123,62193,88532,70730,103359,186571
53000,204316,137386,105261,184553,127801,238318,35002,76216,281884,125748,451153,90886,236101,76365,85970,205608,192463,121715,227258,50617,213756,74366,82401,160350,10624,24038,94001,150509,43681,164909,153950,130260,169488,100824,82907,128613,125697,21532,157179,113342,207259,193620,67145,202779,529898,158004,41072,187243,163790,112951
54000,134024,48186,218679,239071,156610,327798,98400,134841,86502,205095,12823,37062,32283,49279,65879,156722,128255,73312,213877,152098,139017,188832,98588,60803,24828,136804,86537,112200,116550,237930,156722,128265,167246,130421,205835,270122,136533,103522,117127,60324,43497,164302,131887,88034,230911,123753,166392,182391,84068,158330
55000,125376,105367,58699,210445,308940,82092,63725,189678,140921,263037,118737,201524,163007,290758,179446,256550,190848,117732,205941,40444,141884,186654,152281,557591,113625,36908,186778,256840,162961,231126,309018,215545,136260,125358,77342,95932,126240,90056,80088,101908,183805,97848,196723,279900,195444,218024,36841,136081,156964,52919
56000,122071,199659,93017,231085,111447,27801,120889,204848,95437,172500,279920,66312,151544,182878,180912,112772,89052,149508,135991,130958,239577,258944,208820,120073,32465,252201,15929,248301,179005,92972,184685,163185,97295,219261,127274,80963,134593,139443,222688,96600,315887,79815,35385,66011,483586,58117,214790,149348,103369,291862
57000,181256,181883,210813,148065,251006,199236,199863,193289,201218,176150,240375,149487,42965,181620,109693,148860,168603,67562,95067,151027,227084,213936,141624,157332,326473,157975,189192,117913,250394,139665,233463,119417,39901,77859,140530,192979,230058,157184,275101,56028,103538,249173,272254,196537,83901,98876,139529,118578,124416,257684
58000,162277,150193,163077,219492,155801,119382,43076,230873,80976,455113,27504,124009,62264,160648,112694,179255,150322,236249,169312,240673,215922,262585,25307,408186,67646,213617,70810,204740,315021,205824,167426,70176,148680,265349,167632,47056,171700,80028,149505,339395,52705,191370,107423,107356,105081,120704,171130,95898,192499,196845
59000,168265,17996,155962,211144,147641,116666,149310,213369,113585,118410,276386,328265,62853,196608,172796,394992,155921,244603,274743,120854,158987,165183,182693,98163,250831,201781,92707,171339,122932,75523,201035,141036,139507,275507,347937,85228,281342,40164,469295,74276,130609,60540,217622,152601,198547,162849,240171,299533,95135,219270
60000,125807,118296,79979,222041,138985,325990,123043,83184,269743,201434,257366,122470,185805,195321,33651,119785,96322,37853,95688,258670,127409,45457,134087,201210,211133,201300,154771,192358,112087,91957,104973,231860,110385,158739,153268,145201,92981,101186,77369,209316,285013,250372,84922,121080,93564,37687,120820,218741,221476,329945
61000,28832,65075,247887,117865,195748,67853,305439,75909,260280,54898,115299,335591,467129,354081,298507,385452,205241,97467,824,486605,189851,143409,109941,347808,162030,191178,420915,321302,118390,263361,181246,5174,216895,44902,205881,143142,202920,157984,214966,61334,48018,133968,227682,249746,121189,95130,244771,76016,297812,145033
62000,169903,92093,282448,275888,151735,287618,94255,122945,144514,111307,215220,208911,119856,267385,41247,148049,368003,127476,173676,59642,148022,87042,143604,199843,66815,149708,209257,391623,212133,80768,118600,235689,180178,194804,101164,205006,244139,182746,170755,91908,165876,250182,93597,304738,200898,155812,177795,98124,383380,257274
63000,66827,202645,113721,305166,227901,37151,65560,380841,208882,33054,105316,28982,150318,312864,162296,6140,121226,215605,69613,247765,224958,107715,18806,94541,218629,128605,73845,196648,98403,86950,400896,129972,141725,242796,272335,200066,251290,94426,72162,172898,122379,93417,135250,46121,213154,221983,190545,251837,164490,102728
64000,70572,296366,81924,537497,281004,115498,115015,174881,150146,153877,36461,102202,320779,278800,81262,161660,153342,19396,161898,128314,185127,205275,133148,282667,352923,129238,108772,176575,223926,100774,268933,128907,246827,169129,280992,228333,97580,154731,200228,110076,298413,82348,183727,223996,192554,141339,115666,100228,170938,83374
65000,275585,74878,366148,158568,200447,107620,166581,165991,244885,345803,237922,185915,208343,213991,38513,112776,430424,394675,144720,113803,112889,146991,122430,122195,309226,16630,228804,235559,208137,176319,134778,144625,80169,103815,127256,150815,206718,119818,53092,80975,130581,91668,170814,147314,119558,68851,308973,188012,155958,129938
66000,48162,213463,258239,278360,292819,147733,251998,149209,122963,157970,284268,383814,184855,139928,178322,18234,30362,30064,106916,432425,185297,241290,165050,213610,110550,179353,198682,117560,375702,154998,147954,426496,173710,116047,121865,316297,258757,310230,19395,263118,252515,80819,58839,165044,123988,210272,243946,357234,170387,423753
67000,47697,415157,64567,142092,156990,143507,80232,108352,294666,80340,83744,193237,105569,292649,133106,171292,212693,163547,107657,5637,77942,361115,205079,110310,167467,346551,140681,179581,128351,70488,136955,291338,102308,258846,640063,117993,341628,74541,195383,133173,168596,72023,235290,85489,122098,22449,359834,221917,181870,147812
68000,21147,87583,264063,289003,228930,369549,323725,167778,561511,112851,237264,138344,104193,184429,185033,94524,188091,144139,152326,323607,260082,70276,241527,379627,130872,140494,81011,202505,187525,138848,291708,154119,254408,103486,207389,13396,222115,112421,88877,281362,147366,188001,286499,92964,174019,216616,108598,227484,142021,324582
69000,153543,15821,7557,329537,206046,174660,134926,71316,318020,102084,203911,116940,58787,260082,99799,89660,221416,252003,115003,171749,172204,56597,270461,98929,266287,218597,57091,91766,305209,91693,304939,154604,143546,26348,99555,207474,289433,157231,101568,5592,87911,51869,268194,102086,161548,253322,132805,131817,202721,21527
