n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
28000,298077,265229,292557,387446,319399,259695,274749,316993,271299,298010,245387,296702,289058,309457,309499,293827,338114,290421,310398,355945,278837,295827,281561,303560,278549,317636,319818,263120,313937,268198,288187,276233,326997,399917,289110,295832,408018,354713,312075,308312,275976,346238,270856,326355,277839,278432,297986,270124,309544,343827
29000,304495,339384,296736,313019,288577,325328,282947,331937,270561,340303,278111,277818,288275,312385,293744,365942,290897,299829,305590,387299,281210,331078,295242,336799,302739,293679,301048,320506,275658,304866,268976,303933,312850,338218,305158,305777,280129,381265,307115,280291,352636,287641,322486,330439,415668,361089,312158,312601,323476,320345
30000,291722,317896,284225,358471,299286,303574,331784,287941,285157,319179,288296,364960,335793,359134,345216,264755,385025,305271,343597,333609,290376,327800,383460,360520,349706,282234,382563,536514,376199,337365,393849,305308,312326,331368,324203,298940,309837,424092,287599,333106,320576,271041,303793,373069,297269,323555,294080,363478,313821,316352
31000,394659,419177,292444,338581,287354,317259,287820,324098,296865,314283,361181,305152,324969,435189,433929,337523,340240,337917,317960,327220,319314,343258,409756,287961,469035,376107,428505,305335,300654,431966,389999,286321,380641,347480,306205,365974,302538,299151,364886,386504,338155,348259,338031,352941,371077,366037,350026,290720,346839,275422
32000,347670,323037,320136,347706,354089,384961,354395,413897,362733,351177,444834,298212,382553,378567,366715,418211,312849,304332,315360,427643,349977,411565,338504,313649,355630,341662,296168,350506,385239,278510,330667,345978,339460,306043,369015,409985,408500,340568,322440,333089,373351,361787,364409,401698,384550,358482,334302,338870,365493,325124
33000,287346,341306,437060,340093,339375,364133,341820,342311,405017,379810,399674,363835,387739,377800,377233,389434,345063,321734,416976,335544,368321,357251,368301,304513,381290,317119,301437,355491,388285,418191,334829,348775,404228,401404,321891,363588,366880,350116,395532,334493,376583,435337,325152,373143,317371,318036,374647,284199,363160,380432
34000,333381,341346,371233,374691,341349,361789,391488,333895,427182,372281,376685,361016,410134,342144,363642,349667,357333,393417,343230,373483,334997,436521,367493,337859,352187,445087,359883,351450,323202,358257,328057,347127,385587,432855,343591,337923,347942,316797,344222,408435,310923,311440,314010,453444,397607,355485,369965,406862,382170,390788
35000,348670,343590,399697,442641,403412,363407,367529,417585,323749,465636,352875,481575,346055,369066,399645,365105,408964,375935,354004,367476,374003,422992,421125,415597,393432,393751,400069,379350,381644,464173,367978,375701,319797,346401,403075,368461,363375,424026,356352,400842,374477,401467,418091,373598,379809,420617,358656,325820,430426,355228
36000,392414,374572,402835,407789,470809,378693,342931,398018,367919,416318,420299,375061,363631,472891,352784,332753,341246,345319,423060,444441,365303,377673,368461,383641,433505,389658,368679,461716,372384,432894,351691,339057,449803,381703,450037,403433,364740,389648,354585,450264,426552,391237,375384,377426,331141,454151,368278,463150,354791,412139
37000,364897,424689,440216,378617,456267,331474,361418,396598,397759,340920,398131,418725,442103,477226,422042,403043,394210,412995,404792,416653,410725,365419,381450,433981,483750,374372,419465,479597,435937,408830,456144,402297,418822,400454,443066,403382,348828,406700,457782,353472,375232,414430,372560,437805,437216,354860,347344,394879,500311,365183
